port_id,name,country,latitude,longitude
wpi:7950,Maurer,United States,40.533332999999999,-74.250000000000000
wpi:47620,Iharana,Madagascar,-13.350000000000000,50.000000000000000
wpi:47020,Chake Chake,Tanzania,-5.250000000000000,39.766666999999998
wpi:47005,Mjimwema Terminal,Tanzania,-6.816667000000000,39.366667000000000
wpi:44804,Delta Terminal,Turkey,36.850000000000001,36.166666999999997
wpi:50350,Cinta Oil Terminal,Indonesia,-5.500000000000000,106.233333000000002
wpi:38330,Europa Point,Gibraltar,36.133333000000000,-5.350000000000000
wpi:7010,New Harbor,United States,43.866667000000000,-69.483333000000002
wpi:12900,Dtse / Gegua Oil Terminal,Brazil,-22.816666999999999,-43.149999999999999
wpi:48104,Sharmah,Saudi Arabia,27.933333000000001,35.250000000000000
wpi:9210,Norsworthy,United States,29.733332999999998,-95.200000000000003
wpi:6750,Minturn,United States,44.149999999999999,-68.450000000000003
wpi:6820,Criehaven,United States,43.833333000000003,-68.883332999999993
wpi:46691,North Point,"Saint Helena, Ascension, and Tristan da Cunha",-7.883333000000000,-14.366667000000000
wpi:57433,Bongkot Terminal,Thailand,8.050000000000001,102.333332999999996
wpi:52350,Donggala,Indonesia,-0.650000000000000,119.733333000000002
wpi:42415,Larimna,Greece,38.566667000000002,23.283332999999999
wpi:38420,Hornillo,Spain,37.399999999999999,-1.550000000000000
wpi:40245,Melilli Oil Terminal,Italy,37.116667000000000,15.250000000000000
wpi:47942,Al Khair Oil Terminal,Sudan,19.583333000000000,37.250000000000000
wpi:6670,Corea,United States,44.399999999999999,-67.966667000000001
wpi:59550,Margosatubig,Philippines,7.583333000000000,123.166667000000004
wpi:45635,Arzew El Djedid,Algeria,35.816667000000002,-0.250000000000000
wpi:45822,Karabane,Senegal,12.566667000000001,-16.666667000000000
wpi:14175,Caleta Mina Elena,Chile,-52.683332999999998,-71.900000000000006
wpi:6970,Monhegan,United States,43.766666999999998,-69.316666999999995
wpi:6710,Northeast Harbor,United States,44.299999999999997,-68.283332999999999
wpi:6800,Bucks Harbor,United States,44.333333000000003,-68.733333000000002
wpi:6830,Matinicus,United States,43.866667000000000,-68.883332999999993
wpi:49875,Malong Marine Terminal,Malaysia,4.633333000000000,104.816666999999995
wpi:63090,Admiralty Bay,Antarctica,-62.083333000000003,-58.416666999999997
wpi:63110,Melchior Harbor,Antarctica,-64.316666999999995,-63.000000000000000
wpi:7900,Grasselli,United States,40.616667000000000,-74.200000000000003
wpi:44807,Aksaz Limani,Turkey,36.833333000000003,28.383333000000000
wpi:46239,Egina Oil Terminal,Nigeria,3.066667000000000,6.700000000000000
wpi:47625,Antsohim Bondrona,Madagascar,-13.083333000000000,48.833333000000003
wpi:42180,Ayios Nikolaos,Greece,37.983333000000002,23.533332999999999
wpi:43384,Borusan Fertilizer Jetty,Turkey,40.416666999999997,29.100000000000001
wpi:63070,Ellefsen Harbor,Antarctica,-60.733333000000002,-45.033332999999999
wpi:63120,Andersen Harbor,Antarctica,-64.316666999999995,-62.933332999999998
wpi:11360,Baie Du Marigot,France,18.066666999999999,-63.083333000000003
wpi:11372,Coles Bay Oil Terminal,Sint Maarten,18.016667000000002,-63.083333000000003
wpi:48057,Zafarana Terminal,Egypt,29.166667000000000,32.683332999999998
wpi:60205,Suizhang Gang,China,40.066667000000002,121.049999999999997
wpi:49685,Yetagun Marine Terminal,Burma,13.050000000000001,96.849999999999994
wpi:47989,Zeit Bay Lpg Terminal,Egypt,27.800000000000001,33.566667000000002
wpi:51800,Tanjungredeb,Indonesia,2.150000000000000,117.483333000000002
wpi:59575,Santa Clara,Philippines,7.783333000000000,122.683333000000005
wpi:11048,Punta Nizao Oil Terminal,Dominican Republic,18.199999999999999,-70.200000000000003
wpi:57490,Phsar Ream,Cambodia,10.500000000000000,103.599999999999994
wpi:50932,Tanjung Gerem,Indonesia,-5.966667000000000,105.983333000000002
wpi:48341,Ras Al Ghar,Saudi Arabia,26.899999999999999,49.866667000000000
wpi:7890,Port Socony,United States,40.549999999999997,-74.250000000000000
wpi:11005,Puerto Botado,Dominican Republic,19.199999999999999,-69.450000000000003
wpi:63100,Port Lockroy,Antarctica,-64.816666999999995,-63.500000000000000
wpi:51500,Tarempah,Indonesia,3.216667000000000,106.216667000000001
wpi:52440,Tahuna,Indonesia,3.616667000000000,125.483333000000002
wpi:63080,Scotia Bay,Antarctica,-60.750000000000000,-44.716667000000001
wpi:47690,Port Est,Reunion,-20.933333000000001,55.316667000000002
wpi:42790,Vrakhonisis Kallonis,Greece,39.083333000000003,26.083333000000000
wpi:45515,Port Methanier,Algeria,36.883333000000000,6.950000000000000
wpi:9665,Puerto Este,Honduras,16.083333000000000,-86.900000000000006
wpi:35835,Port Du Havre-Antifer,France,49.649999999999999,0.150000000000000
wpi:7020,Pemaquid Beach,United States,43.866667000000000,-69.533332999999999
wpi:40750,Porto Di Malamocco,Italy,45.333333000000003,12.316667000000001
wpi:46544,Psvm Terminal,Angola,-6.250000000000000,10.733333000000000
wpi:47695,Port Ouest,Reunion,-20.933333000000001,55.283332999999999
wpi:9230,Sinco,United States,29.716667000000001,-95.233333000000002
wpi:14020,Prince Olav Harbor,South Georgia and South Sandwich Islands,-54.033332999999999,-37.149999999999999
wpi:7070,Robinhood,United States,43.850000000000001,-69.733333000000002
wpi:6980,Port Clyde,United States,43.916666999999997,-69.250000000000000
wpi:42440,Stilis,Greece,38.916666999999997,22.616667000000000
wpi:14040,Stromness Harbor,South Georgia and South Sandwich Islands,-54.149999999999999,-36.700000000000003
wpi:45845,Victoria,Guinea,10.816667000000001,-14.566667000000001
wpi:7000,Friendship,United States,43.966667000000001,-69.333332999999996
wpi:6880,Bucksport,United States,44.566667000000002,-68.783332999999999
wpi:9240,Houston,United States,29.750000000000000,-95.283332999999999
wpi:12772,Aratu,Brazil,-12.783333000000001,-38.500000000000000
wpi:10010,Matthew Town,The Bahamas,20.949999999999999,-73.683333000000005
wpi:7190,Newburyport,United States,42.816667000000002,-70.866667000000007
wpi:10430,Ceiba Hueca,Cuba,20.216667000000001,-77.316666999999995
wpi:60250,Dalian,China,38.916666999999997,121.666667000000004
wpi:48076,Elat,Israel,29.550000000000001,34.950000000000003
wpi:47990,El Ghardaqa,Egypt,27.216667000000001,33.850000000000001
wpi:47630,Antsiranana,Madagascar,-12.266667000000000,49.283332999999999
wpi:47130,Kismaayo,Somalia,-0.366667000000000,42.549999999999997
wpi:47100,Mombasa,Kenya,-4.066667000000000,39.666666999999997
